ID,Year,FireDistrict,station,TotalLosses,Latitude,Longitude
449435,2023,Battalion I                                       ,7,2000,36.074323,-79.765466
450243,2023,Battalion I                                       ,7,4800,36.085372,-79.750982
450344,2023,Battalion V                                       ,49,182500,36.090152,-79.841491
450452,2023,Battalion III                                     ,52,3100,36.056548,-79.868039
450562,2023,Battalion II                                      ,11,17000,36.053352,-79.782692
450636,2023,Battalion I                                       ,56,500,36.072263,-79.739187
450671,2023,Battalion V                                       ,41,2000,36.143504,-79.834663
451020,2023,Battalion V                                       ,40,15000,36.124177,-79.844791
451420,2023,Battalion I                                       ,7,55000,36.120755,-79.745778
451660,2023,Battalion II                                      ,8,500,36.035406,-79.819662
451682,2023,Battalion III                                     ,16,96000,36.098263,-80.015509
451882,2023,Battalion I                                       ,63,60500,36.084748,-79.711678
451883,2023,Battalion I                                       ,5,6750,36.086112,-79.799542
451941,2023,PTI Airport                                       ,PTI,2000,36.105449,-79.936606
451986,2023,Battalion II                                      ,4,15700,36.059185,-79.780133
452037,2023,Battalion II                                      ,61,3000,36.020703,-79.793072
452101,2023,Battalion IV                                      ,18,5000,36.086083,-79.887014
452185,2023,Battalion I                                       ,7,9400,36.096313,-79.748288
452261,2023,Battalion III                                     ,10,7000,36.046653,-79.855907
452669,2023,Battalion I                                       ,7,45840,36.090637,-79.738985
452816,2023,Battalion I                                       ,7,25000,36.08484,-79.771768
452817,2023,Battalion III                                     ,52,100,36.050432,-79.902188
452880,2023,Battalion III                                     ,8,618044,36.061074,-79.841293
452881,2023,Battalion III                                     ,8,5000,36.061074,-79.841293
452951,2023,Battalion III                                     ,23,500,36.022862,-79.903233
452955,2023,Battalion III                                     ,8,260000,36.061074,-79.841293
452979,2023,Battalion II                                      ,11,5000,36.030474,-79.80101
453045,2023,Battalion IV                                      ,17,4200,36.089419,-79.915059
453089,2023,Battalion II                                      ,53,23750,36.046385,-79.772551
453177,2023,Battalion III                                     ,52,3000,36.071976,-79.895217
453389,2023,Battalion II                                      ,11,8000,36.046818,-79.800118
